Fillingdate;EquivInterval;EquivMonth;IsDeadLine
Must be submitted within 8 days upon request from the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
It should be available upon request during an audit;At request of Tax Authorities;At request of Tax Authorities;0
The documentation should be available for the Faroese tax authorities within 60 days upon request;At request of Tax Authorities;At request of Tax Authorities;0
Must be submitted within 60 days upon request from the tax authorities. It is anticipated that this 60-day grace period may be changed;At request of Tax Authorities;At request of Tax Authorities;0
Within 1 to 2 months upon request from the tax authorities, with a possible 1-month extension;At request of Tax Authorities;At request of Tax Authorities;0
There is no requirement to file the documentation. Upon request, the taxpayer should be able to produce the documentation;At request of Tax Authorities;At request of Tax Authorities;0
Upon request, 90 calendar days from the day the tax authorities request the documentation and information;At request of Tax Authorities;At request of Tax Authorities;0
Must be submitted to the tax authorities within 30 days upon request from the tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
There is no obligation on the taxpayer to file the transfer pricing documentation. However, there is an obligation to maintain such documentation and to provide it upon request to the Luxembourg tax authorities;At request of Tax Authorities;At request of Tax Authorities;0
Transfer pricing documentation must be available in order to complete the Informative Tax Return Appendix 9 and should be filed upon request during an audit;At request of Tax Authorities;At request of Tax Authorities;0
The Oman Tax Authority expect that appropriate TP documentation will be made available under a tax audit or investigation. The filing date is subject to agreement with the Tax Authority;At request of Tax Authorities;At request of Tax Authorities;0
"The transfer pricing documentation report/study will only be submitted under request of the tax administration within a term of 45 business days after notification of the request

Form 930 V1.0 (for fiscal years prior to 2018) and Form 930 V2.0 (for fiscal year 2018 and onwards) must be filed within 6 months after the fiscal year-end";At request of Tax Authorities;At request of Tax Authorities;0
"TP documentation no longer needs to be submitted upon filing of the annual income tax return (AITR)

Instead, it should be made available within 30 days from request during a tax audit";At request of Tax Authorities;At request of Tax Authorities;0
"Taxpayers were not obliged to file tax documentation but they were obliged to prepare it and have it available in case of a tax audit

Based on article 9a(4) of the UPDOP, the taxpayer was obliged to present the transfer pricing documentation within 7 calendar days upon request of the tax authorities";At request of Tax Authorities;At request of Tax Authorities;0
Within 15 days upon request of the tax authorities, only after the deadline for filing of the corporate income tax return for the respective tax period (3 or 6-month extension available);At request of Tax Authorities;At request of Tax Authorities;0
"Not applicable

However, the recommended documentation must usually be submitted within 30 days upon request (an extension can be granted)";At request of Tax Authorities;At request of Tax Authorities;0
Within 1 month upon request during a tax audit, which could be the first day of the audit;At request of Tax Authorities;At request of Tax Authorities;0
Usually within 5 to 15 business days upon request;At request of Tax Authorities;At request of Tax Authorities;0
"Upon request of the tax authorities

Resolution DGT-R-28-2017 postponed the deadline of 30 June 2017 and required instead taxpayers to present the Transfer Pricing Tax Return upon request of the tax authorities. A new deadline will be provided";At request of Tax Authorities;At request of Tax Authorities;0
A temporary declaration should be submitted on the date when the tax authorities initiate an investigation of the account of a company;At request of Tax Authorities;At request of Tax Authorities;0
The delegation should be done within 30 days of the deadline;At request of Tax Authorities;At request of Tax Authorities;0
Not applicable;Not applicable;Not applicable;0
Not yet available;Not applicable;Not applicable;0
No filing requirement;Not applicable;Not applicable;0
Not available;Not applicable;Not applicable;0
To be announced;Not applicable;Not applicable;0
No;Not applicable;Not applicable;0
No requirement;No requirement;Not applicable;0
Not yet determined;No requirement;Not applicable;0
No;No requirement;Not applicable;0
"09/30/2022 (FYE 12/2022)
[3 mo. prior to year-end]";-3 month BEFORE end of Fiscal Year;30/09/2022;1
Documentation for a relevant tax period must be in place before the deadline of income tax declaration;-1 month BEFORE end of Fiscal Year;30/11/2022;1
It should be prepared before the deadline for submitting the annual corporate tax return but must be submitted upon request;-1 month BEFORE end of Fiscal Year;30/11/2022;1
The filing date of the accountant’s report certifying the international transactions is 31 October of the relevant assessment year which is 1 month prior to the due date of filing the income tax return. Accordingly, the contemporaneous documentation needs to be maintained by the said date. It need not be submitted to the tax authorities. Instead, the TPR allow the tax authorities to request the documentation during the course of audit proceedings;-1 month BEFORE end of Fiscal Year;30/11/2022;1
Must be prepared before the due date for the filing of the tax return and must be submitted to the tax authorities within 5 days upon request from the tax authorities;-1 month BEFORE end of Fiscal Year;30/11/2022;1
"Extended to 12/31/2021
(if originally due on or before
November 30, 2021)
(See Notes)";-1 month BEFORE end of Fiscal Year;30/11/2022;1
On or before sixty days prior to the date of filing the CbC report;-1 month BEFORE end of Fiscal Year;30/11/2022;1
"To be maintained by the date of filing the Income Tax Return (therefore for the first time no later than 31 May or, if a postponement has been granted for filing the return, no later than 30 November)

The Aruba tax authority has the option to request the Master File therefore, this does not have to be submitted/provided automatically on an annual basis";0 month after end of Fiscal Year;31/12/2022;1
Should be available by the tax return filing date (submitted upon request);0 month after end of Fiscal Year;31/12/2022;1
"Must be prepared no later than the statutory date for filing the corporate income tax return. From income year 2021 and onwards, the Master File must also be submitted within 60 days of the filing of the corporate income tax return. 

A temporary Master File may be submitted if it is not possible to finalize the Master File in time. The temporary Master File must be less than one year old, it must be stated when the Master File will be submitted and it must be described if significant changes will be affecting Danish taxpayers for the income year in question that are not disclosed in the Local File.";0 month after end of Fiscal Year;31/12/2022;1
"The transfer pricing documentation shall be prepared and finalized by the due date for the submission of tax return for the accounting period to which the transaction or arrangement relates see article 68 of regulation
            

The Master File must be submitted within 30 days from a request by the MIRA";0 month after end of Fiscal Year;31/12/2022;1
"The Master File shall be prepared before the filing of the corporate income tax return (i.e. no later than 6 months after the last day of the fiscal year) and submitted:

- within 21 days of the receipt of FIRS’ notice for companies having controlled transactions of NGN 300 million or more or

- within 90 days of the receipt of FIRS’ notice for companies having controlled transactions of less than NGN 300 million";0 month after end of Fiscal Year;31/12/2022;1
The tax file has to be prepared by the taxpayer before the designated deadline, but does not have to be filed with the tax authorities. Upon filing the annual tax return, the taxpayer is bound to certify that the Master File for the given reporting period is ready and available;0 month after end of Fiscal Year;31/12/2022;1
Documentation must be in place at the time when the income tax return is filed and must be submitted within 30 days of a written request;0 month after end of Fiscal Year;31/12/2022;1
To be maintained by the date of filing the Income Tax Return (therefore for the first time no later than 31 May or, if a postponement has been granted for filing the return, no later than 30 November);0 month after end of Fiscal Year;31/12/2022;1
Must be prepared no later than the statutory date for filing the corporate income tax return. From income year 2021 and onwards, the Local File must also be submitted within 60 days of the filing of the corporate income tax return;0 month after end of Fiscal Year;31/12/2022;1
"The transfer pricing documentation shall be prepared and finalized by the due date for the submission of tax return for the accounting period to which the transaction or arrangement relates see article 68 of regulation
            

The Local File must be submitted within 30 days from a request by the MIRA";0 month after end of Fiscal Year;31/12/2022;1
At the beginning of the fiscal year;0 month after end of Fiscal Year;31/12/2022;1
Must be prepared before the due date for the filing of the tax return and must be submitted to the tax authorities within 30 days upon request from the tax authorities, see articles 2 and 17 of Regulation No. 423 of 18 December 2013;0 month after end of Fiscal Year;31/12/2022;1
The transfer pricing documentation must be prepared no later than on the due date for filing the corporate tax return (i.e. within 6 months after the accounting year-end) and submitted at the request of the tax authorities;0 month after end of Fiscal Year;31/12/2022;1
"For larger taxpayers fulfilling revenue thresholds described below, the deadline for preparing the transfer pricing file is the established legal deadline for filing the annual tax return for each fiscal year, while the deadline for providing the transfer pricing file cannot exceed 10 calendar days from the request but cannot be earlier than 10 days after the legal deadline for the filing of the annual tax return

For other taxpayers described below, the transfer pricing documentation should be provided upon request, during the course of a tax audit";0 month after end of Fiscal Year;31/12/2022;1
"Preparation deadline: no later than the statutory deadline for the filing of the income tax return in which the transaction takes place

Submission deadline: within 30 days upon request from the IRAS";0 month after end of Fiscal Year;31/12/2022;1
With corporate tax return;0 month after end of Fiscal Year;31/12/2022;1
With the annual corporate tax return;0 month after end of Fiscal Year;31/12/2022;1
The summary table must be electronically submitted by the submission deadline of the tax return of the specific year of assessment;0 month after end of Fiscal Year;31/12/2022;1
The general rules for filing of the tax declaration apply;0 month after end of Fiscal Year;31/12/2022;1
Same as the Profits Tax Return;0 month after end of Fiscal Year;31/12/2022;1
Due date for filing the Annual corporate income tax return;0 month after end of Fiscal Year;31/12/2022;1
Form 1385 and Form 1485 must be attached to corporate tax return;0 month after end of Fiscal Year;31/12/2022;1
The International Dealings Schedule is filed with the income tax return;0 month after end of Fiscal Year;31/12/2022;1
For manual filers, TP Documentation should be submitted upon filing of the Annual Income Tax Return (AITR). For electronic filers, it should be filed within 15 days from statutory date, or filing of the AITR, whichever is later;0 month after end of Fiscal Year;31/12/2022;1
"Disclosure form of controlled transactions:

- with tax/zakat return

Requirement to prepare general documentation:

- upon request and on a date specified by the tax authority, no less than 30 days from the date of the request";0 month after end of Fiscal Year;31/12/2022;1
The form for reporting related-party transactions should be submitted together with the submission of Form C (income tax return);0 month after end of Fiscal Year;31/12/2022;1
With the Corporate income tax return;0 month after end of Fiscal Year;31/12/2022;1
No later than the statutory deadline for the filing of the annual corporate income tax return;0 month after end of Fiscal Year;31/12/2022;1
During the due course of the annual tax return in the country of the parent company;0 month after end of Fiscal Year;31/12/2022;1
"Must be filed on or before the due date (including extensions) for the annual tax return

For 2016 only, early-period filers (i.e. voluntary filers whose reporting period began between 1 January 2016 and 30 June 2016) were given an extension and had 12 months from the last day of the reporting period to submit a CbC report via an amended return (i.e. until 31 December 2017 for calendar year 2016)";0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year. The notification in Anguilla only has to be filed once. Only if the information included in the notification changes, a new notification must be submitted;0 month after end of Fiscal Year;31/12/2022;1
"No later than the last day of each reporting financial year. 

The CbC reporting legislation was implemented as of 1 January 2020 with retroactivity for the notification requirement specifically for the reporting year that started on or after 1 January 2019. Constituent entities in scope had until 31 March 2020 to file the notification for FY 2019";0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group, except for fiscal years that began during 2018, for which the notification deadline is 31 May 2019;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than 1 September 2017 for reporting fiscal years ending up to 31 August 2017, and thereafter notification must be made no later than the last day of the reporting fiscal year of the relevant MNE group. Note that it is a one-off process and does not need to be repeated annually. Changes to notification details must, however, be advised to the authority via the Electronic Portal;0 month after end of Fiscal Year;31/12/2022;1
"For CEs where the reporting fiscal year of the MNE group ends on or before 30 April 2019 the notification deadline is 30 April 2019. For all other CEs where the reporting fiscal year of the MNE group ends on or after 1 May 2019, the deadline is no later than the last day of the reporting fiscal year of such MNE group. See
               guidance, Section VIII – Registration Deadline Dates.

Notification is intended to be a one-off process and does not need to be repeated annually. However, it is recommended that any changes are communicated to the international tax authority immediately but no later than 3 months within the fiscal year in which the change occurred";0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group for a local entity that is the ultimate parent entity (UPE) or SPE. For any other group entity residing in the country, the notification will be due no later than 3 months prior to the end of the financial year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the fiscal year to which the CbC report relates;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
"Last day of the reporting period

Exceptionally for accounting periods that end before 31 May 2017 the notification due date is 31 May 2017";0 month after end of Fiscal Year;31/12/2022;1
No later than the statutory deadline for the filing of the annual corporate income tax return (30 April);0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE Group;0 month after end of Fiscal Year;31/12/2022;1
"No later than the statutory deadline for filing the corporate income tax return:

- For reporting fiscal years 2016 and 2017: no later than 31 May of the year following the reporting fiscal year (i.e. by 31 May 2017 and by 31 May 2018 respectively), with a possible extension until the end of February of the second subsequent year following the reporting fiscal year if the taxpayer is represented by a tax advisor (i.e. by 28 February 2019 and by 29 February 2020 respectively)

- For reporting fiscal year 2018: no later than 31 July of the year following the reporting fiscal year (i.e. by 31 July 2019), with a possible extension until the end of February of the second subsequent year following the reporting fiscal year if the taxpayer is represented by a tax advisor (i.e. by 29 February 2020)

- For reporting fiscal year 2019: no later than 31 July of the year following the reporting fiscal year (i.e. by 31 July 2020), with a possible extension until the end of August of the second subsequent year following the reporting fiscal year if the taxpayer is represented by a tax advisor (i.e. by 31 August 2021)

- For reporting fiscal year 2020: no later than 31 July of the year following the reporting fiscal year (i.e. by 31 July 2021), with a possible extension until the end of August of the second subsequent year following the reporting fiscal year if the taxpayer is represented by a tax advisor";0 month after end of Fiscal Year;31/12/2022;1
No later than the last day for filing of the tax return of the notifying CE for the preceding fiscal year (i.e. 9 months after the end of the month in which the accounting period ends);0 month after end of Fiscal Year;31/12/2022;1
By the end of the fiscal year in relation to the filing of the CbC report;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group (30 days in the case of changes in the information reported earlier);0 month after end of Fiscal Year;31/12/2022;1
Before the end of the financial year (i.e. by 31 December 2016 if the financial year coincides with the calendar year). See Regulation 6;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
The last day of the relevant accounting period;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting financial year of the group;0 month after end of Fiscal Year;31/12/2022;1
"No later than the last day of the reporting fiscal year

For the first reporting fiscal year (fiscal year 2016), the notification due date was 31 August 2017";0 month after end of Fiscal Year;31/12/2022;1
By the end of the first reporting period;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
For any fiscal years ending after 31 December 2015, the notification should be filed by the last calendar date of the relevant fiscal year. For instance, if the fiscal year ended on 30 April 2016, the notification has to be filed by 30 April 2016;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
Before the end of the reporting year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
"Last day of the reporting period

The deadline for filing the CbC notification was extended from 31 December 2020 to 30 April 2021 for reporting on the fiscal year ended 31 December 2020";0 month after end of Fiscal Year;31/12/2022;1
The last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
The last day of the reporting year;0 month after end of Fiscal Year;31/12/2022;1
"No later than the last day for submitting the tax return of that constituent entity for the previous fiscal year. The deadline for the 2021 corporate tax return is extended to 25 June 2022, see
               Notice";0 month after end of Fiscal Year;31/12/2022;1
By the deadline for submitting the tax return (i.e. 30 June of the year following the reporting year);0 month after end of Fiscal Year;31/12/2022;1
No later than 3 months after the last day of the reporting fiscal year for years ending on 31 December 2019 and thereafter no later than the last day of the reporting fiscal year – Regulation 8(1) of CbCR MNE Groups Regulations 2019;0 month after end of Fiscal Year;31/12/2022;1
This communication must be submitted each year before the end of the tax period to which the information refers;0 month after end of Fiscal Year;31/12/2022;1
Before the end of the reporting year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group, except for fiscal years that began during 2020, for which the deadline is 31 March 2022;0 month after end of Fiscal Year;31/12/2022;1
Last day of the reporting period;0 month after end of Fiscal Year;31/12/2022;1
End of the accounting period for which the report is being prepared;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than 31 December of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
"Before the last day of the reporting fiscal year of such MNE

As a transitory measure, the deadline to send the notification corresponding to fiscal years ended between 31 December 2017 and 28 February 2019 was 31 March 2019";0 month after end of Fiscal Year;31/12/2022;1
"12/31/2021 (FYE 12/2021)
[By December 31st of
reporting year]";0 month after end of Fiscal Year;31/12/2022;1
"12/31/2021 (FYE 12/2021)
[Last day of reporting year, but
no later than tax return filing
deadline]";0 month after end of Fiscal Year;31/12/2022;1
"12/31/2021 (FYE 12/2021)
[Last day of reporting year]";0 month after end of Fiscal Year;31/12/2022;1
"CE: Currently suspended
UPE: By last day of reporting
year";0 month after end of Fiscal Year;31/12/2022;1
"07/2022 (FYE 12/2021) or
12/31/2021 (FYE 12/2021)
[Filed as part of Company
Return Form C (generally due 7
mo. after year-end) or by last
day of reporting year]";0 month after end of Fiscal Year;31/12/2022;1
"Last day of reporting year
[See note]";0 month after end of Fiscal Year;31/12/2022;1
By the last day of parent's fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of such MNE group, except that such notification shall be filed by 31 March 2022 for the reporting fiscal year of the MNE group that began during 2020.;0 month after end of Fiscal Year;31/12/2022;1
Before the end of the tax year to which the information refers;0 month after end of Fiscal Year;31/12/2022;1
By the end of each fiscal year;0 month after end of Fiscal Year;31/12/2022;1
By the end of the fiscal year;0 month after end of Fiscal Year;31/12/2022;1
End of the accounting period for which the report is being prepared;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the fiscal year of the MNE;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the fiscal year to which a CbC report relates.;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the MNE group’s annual accounting period;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of such MNE;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the Reporting Fiscal Year of such MNE Group.;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the MNE group;0 month after end of Fiscal Year;31/12/2022;1
No later than the last day of the reporting fiscal year of the relevant MNE group;0 month after end of Fiscal Year;31/12/2022;1
On or before the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
The UPE's fiscal year end;0 month after end of Fiscal Year;31/12/2022;1
By the end of the fiscal year to which the CbC report relates.;0 month after end of Fiscal Year;31/12/2022;1
By the end of the relevant fiscal year;0 month after end of Fiscal Year;31/12/2022;1
By the end of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
By the last day of reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
By the last day of reporting fiscal year of the UPE;0 month after end of Fiscal Year;31/12/2022;1
By the last day of the first reporting fiscal year and then within 15 days if any change in reporting entity occurs;0 month after end of Fiscal Year;31/12/2022;1
By the last day of the group's fiscal year;0 month after end of Fiscal Year;31/12/2022;1
By the last day of the reporting fiscal year;0 month after end of Fiscal Year;31/12/2022;1
10 February together with the annual tax return;1 month after end of Fiscal Year;31/01/2023;1
Tax return shall be submitted quarterly no later than the 20th day of the first month after the end of the reporting quarter;1 month after end of Fiscal Year;31/01/2023;1
Due together with the annual tax return (10 February);1 month after end of Fiscal Year;31/01/2023;1
No later than 1 month after the last day of the reporting fiscal year of the MNE group, for fiscal year 2021, the CbC report notification is to be submitted by 31 January 2022;1 month after end of Fiscal Year;31/01/2023;1
By the last business day of the month prior to the one in which the CbC report is to be submitted;1 month after end of Fiscal Year;31/01/2023;1
"01/31/2022 (FYE 12/2021)
[One month after year-end]";1 month after end of Fiscal Year;31/01/2023;1
"02/10/2022 (FYE 12/2021)
[By February 10th following
the reporting year-end]";1 month after end of Fiscal Year;31/01/2023;1
"11/30/2021 (FYE 12/2020)
[By due date of corporate tax
return]";1 month after end of Fiscal Year;31/01/2023;1
"CE: reported on corporate tax
return.
UPE and SPE: 6 months after
end of reporting year.";1 month after end of Fiscal Year;31/01/2023;1
See Notes;1 month after end of Fiscal Year;31/01/2023;1
Within a month after the end of a fiscal year;1 month after end of Fiscal Year;31/01/2023;1
At the date the income tax return is filed (as the report is contained in the transfer pricing documentation);1 month after end of Fiscal Year;31/01/2023;1
By the deadline for filing of the Constituent Entity's tax return for the preceding fiscal year;1 month after end of Fiscal Year;31/01/2023;1
No later than the deadline for filing an income tax return for the reporting fiscal year;1 month after end of Fiscal Year;31/01/2023;1
The same date as the corporate income tax return deadline for the reporting fiscal year;1 month after end of Fiscal Year;31/01/2023;1
Within the deadline for filing the tax return for the reporting fiscal year.;1 month after end of Fiscal Year;31/01/2023;1
Within the deadline for submitting the tax return for the reporting year (e.g., according to current tax provisions, for the FY 2019, which is the first reporting year for San Marino, the deadline is June 30, 2020);1 month after end of Fiscal Year;31/01/2023;1
On the same date as filing the LF;1 month after end of Fiscal Year;31/01/2023;1
[By due date of corporate tax;1 month after end of Fiscal Year;31/01/2023;1
